Wed Jun 09 19:00:57 2021

21.06.02-03_007.top image. S05

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): 50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (8.3,9.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
    32.2     0.011    0.006    0.010    0.032    0.042   -0.011   -0.008   -0.011   -0.000    0.006   45.730   45.741   45.731   45.729   45.731   45.748   45.749   45.744   45.738   45.736  
    38.2     0.017    0.008    0.015    0.041    0.060   -0.011   -0.007   -0.010    0.004    0.008   45.729   45.741   45.729   45.727   45.733   45.751   45.749   45.744   45.735   45.735  
    44.2     0.019    0.016    0.021    0.047    0.065   -0.010   -0.007   -0.009    0.005    0.013   45.728   45.736   45.729   45.726   45.730   45.750   45.746   45.741   45.733   45.732  
    50.2     0.023    0.019    0.024    0.055    0.066   -0.009   -0.006   -0.008    0.005    0.016   45.731   45.738   45.730   45.724   45.733   45.749   45.747   45.743   45.732   45.734  
    56.1     0.025    0.017    0.029    0.060    0.071   -0.009   -0.005   -0.008    0.010    0.017   45.731   45.740   45.730   45.726   45.734   45.751   45.746   45.746   45.732   45.734  
    62.1     0.029    0.021    0.031    0.068    0.090   -0.008   -0.004   -0.007    0.012    0.020   45.733   45.738   45.731   45.727   45.735   45.749   45.744   45.743   45.729   45.732  
    68.1     0.034    0.026    0.032    0.072    0.093   -0.007   -0.002   -0.007    0.019    0.023   45.732   45.740   45.732   45.727   45.732   45.750   45.743   45.745   45.730   45.734  
    74.1     0.037    0.032    0.040    0.085    0.099   -0.007   -0.000   -0.006    0.021    0.033   45.730   45.738   45.731   45.728   45.735   45.750   45.742   45.744   45.732   45.732  
    80.1     0.040    0.039    0.047    0.107    0.106   -0.006    0.002   -0.005    0.023    0.039   45.728   45.740   45.731   45.731   45.736   45.749   45.739   45.743   45.732   45.732  
    86.0     0.038    0.043    0.049    0.110    0.118   -0.006    0.003   -0.005    0.027    0.043   45.726   45.737   45.728   45.730   45.729   45.746   45.734   45.741   45.730   45.730  
    92.0     0.044    0.045    0.053    0.111    0.126   -0.005    0.005   -0.004    0.038    0.054   45.729   45.738   45.729   45.728   45.734   45.747   45.734   45.743   45.729   45.732  
    98.0     0.042    0.050    0.057    0.126    0.140   -0.004    0.005   -0.003    0.042    0.065   45.729   45.739   45.728   45.728   45.732   45.744   45.736   45.744   45.732   45.730  
   104.0     0.050    0.055    0.060    0.123    0.172   -0.004    0.007   -0.001    0.041    0.071   45.729   45.739   45.729   45.729   45.733   45.743   45.733   45.740   45.733   45.732  
   110.0     0.055    0.061    0.069    0.138    0.197   -0.000    0.010    0.001    0.075    0.080   45.731   45.740   45.728   45.729   45.734   45.743   45.734   45.742   45.737   45.733  
   115.9     0.058    0.068    0.079    0.149    0.216    0.001    0.011    0.002    0.111    0.083   45.731   45.739   45.731   45.728   45.736   45.740   45.734   45.741   45.738   45.734  
   121.9     0.058    0.075    0.082    0.171    0.219    0.002    0.012    0.003    0.072    0.090   45.732   45.742   45.729   45.730   45.736   45.741   45.736   45.739   45.738   45.737  
   127.9     0.065    0.076    0.084    0.180    0.218    0.002    0.012    0.005    0.067    0.096   45.731   45.737   45.728   45.726   45.732   45.737   45.733   45.736   45.736   45.735  
