Wed Jun 09 18:45:24 2021

21.06.02-03_007.top image. S03

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -150; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 50.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.8,10.9)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
    38.2     0.211    0.052    0.139    0.253    0.215    0.037   -0.003    0.015    0.013    0.027   45.737   45.740   45.742   45.734   45.738   45.737   45.752   45.745   45.734   45.732  
    44.2     0.241    0.066    0.177    0.273    0.249    0.054    0.000    0.019    0.017    0.035   45.736   45.735   45.744   45.735   45.736   45.737   45.750   45.741   45.734   45.731  
    50.2     0.286    0.082    0.194    0.284    0.314    0.079    0.003    0.021    0.023    0.027   45.739   45.738   45.742   45.736   45.739   45.738   45.745   45.740   45.735   45.733  
    56.1     0.363    0.082    0.225    0.315    0.391    0.092    0.008    0.029    0.027    0.036   45.738   45.739   45.743   45.736   45.742   45.739   45.740   45.742   45.735   45.734  
    62.1     0.407    0.080    0.259    0.339    0.414    0.101    0.010    0.033    0.030    0.040   45.737   45.738   45.742   45.735   45.740   45.736   45.739   45.740   45.732   45.732  
    68.1     0.406    0.085    0.288    0.326    0.424    0.129    0.003    0.041    0.037    0.046   45.737   45.738   45.745   45.736   45.740   45.739   45.743   45.739   45.735   45.734  
    74.1     0.425    0.095    0.317    0.398    0.491    0.139    0.005    0.047    0.045    0.052   45.738   45.738   45.744   45.737   45.740   45.739   45.742   45.741   45.736   45.734  
    80.1     0.477    0.115    0.363    0.424    0.488    0.162    0.007    0.054    0.053    0.061   45.739   45.737   45.747   45.736   45.744   45.741   45.740   45.743   45.734   45.735  
    86.0     0.505    0.110    0.416    0.492    0.477    0.173    0.006    0.059    0.056    0.064   45.734   45.736   45.741   45.736   45.738   45.736   45.739   45.740   45.732   45.730  
    92.0     0.564    0.123    0.422    0.500    0.521    0.188    0.010    0.083    0.060    0.069   45.739   45.737   45.745   45.737   45.740   45.737   45.738   45.740   45.734   45.729  
    98.0     0.703    0.145    0.436    0.544    0.586    0.159    0.012    0.089    0.059    0.086   45.739   45.736   45.747   45.738   45.740   45.739   45.737   45.740   45.732   45.732  
   104.0     0.641    0.150    0.447    0.522    0.522    0.198    0.016    0.099    0.066    0.067   45.739   45.735   45.747   45.739   45.739   45.738   45.738   45.740   45.733   45.734  
   110.0     0.691    0.155    0.453    0.531    0.571    0.247    0.022    0.116    0.072    0.083   45.741   45.738   45.749   45.738   45.741   45.736   45.739   45.741   45.736   45.735  
   115.9     0.731    0.153    0.485    0.636    0.604    0.275    0.020    0.123    0.082    0.093   45.741   45.739   45.749   45.741   45.743   45.741   45.739   45.741   45.737   45.733  
   121.9     0.851    0.166    0.546    0.706    0.630    0.313    0.023    0.141    0.083    0.089   45.742   45.741   45.750   45.743   45.743   45.742   45.737   45.742   45.737   45.735  
   127.9     0.748    0.181    0.550    0.713    0.589    0.325    0.025    0.160    0.093    0.103   45.739   45.735   45.746   45.742   45.738   45.741   45.734   45.743   45.734   45.733  
   133.9     0.848    0.190    0.553    0.785    0.771    0.308    0.035    0.183    0.100    0.113   45.737   45.736   45.748   45.742   45.740   45.741   45.735   45.744   45.736   45.736  
   139.9     0.931    0.204    0.633    0.809    0.798    0.267    0.048    0.207    0.116    0.123   45.739   45.736   45.749   45.742   45.743   45.744   45.736   45.744   45.736   45.738  
   145.8     0.985    0.210    0.684    0.787    0.730    0.283    0.057    0.228    0.134    0.162   45.740   45.738   45.746   45.741   45.742   45.741   45.737   45.743   45.738   45.738  
   151.8     0.982    0.209    0.703    0.734    0.886    0.333    0.062    0.237    0.152    0.204   45.740   45.740   45.747   45.741   45.743   45.741   45.737   45.744   45.737   45.739  
   157.8     1.132    0.230    0.805    0.857    0.788    0.320    0.057    0.235    0.174    0.211   45.742   45.739   45.746   45.742   45.743   45.742   45.738   45.746   45.740   45.740  
   163.8     1.154    0.249    0.895    0.908    0.842    0.326    0.055    0.235    0.171    0.219   45.744   45.738   45.751   45.742   45.744   45.743   45.743   45.746   45.738   45.742  
   169.8     1.233    0.279    0.868    0.988    0.917    0.329    0.057    0.235    0.205    0.236   45.739   45.732   45.744   45.737   45.739   45.734   45.737   45.740   45.734   45.735  
   175.7     1.443    0.298    0.840    1.010    1.102    0.317    0.062    0.247    0.207    0.263   45.739   45.734   45.742   45.737   45.740   45.737   45.735   45.739   45.736   45.733  
   181.7     1.529    0.302    0.884    1.031    1.400    0.326    0.064    0.269    0.220    0.251   45.736   45.736   45.742   45.736   45.738   45.737   45.734   45.737   45.736   45.735  
   187.7     1.582    0.275    0.847    1.052    1.293    0.351    0.075    0.285    0.285    0.274   45.737   45.736   45.742   45.738   45.740   45.737   45.736   45.738   45.738   45.735  
   193.7     1.535    0.293    1.038    1.226    1.197    0.392    0.080    0.292    0.326    0.278   45.736   45.733   45.744   45.739   45.743   45.736   45.734   45.742   45.737   45.736  
   199.7     1.498    0.323    1.099    1.235    1.184    0.412    0.080    0.317    0.341    0.305   45.738   45.737   45.742   45.741   45.743   45.739   45.736   45.741   45.738   45.737  
   205.6     1.688    0.359    1.064    1.238    1.200    0.480    0.094    0.368    0.361    0.330   45.737   45.738   45.743   45.739   45.746   45.741   45.737   45.743   45.738   45.739  
   211.6     1.745    0.398    1.091    1.460    1.243    0.553    0.098    0.400    0.402    0.383   45.735   45.736   45.742   45.737   45.742   45.738   45.736   45.740   45.736   45.736  
   217.6     2.121    0.434    1.133    1.633    1.157    0.544    0.086    0.437    0.469    0.426   45.739   45.737   45.746   45.737   45.742   45.743   45.736   45.742   45.736   45.738  
   223.6     2.294    0.460    1.078    1.763    1.297    0.573    0.095    0.499    0.460    0.433   45.739   45.740   45.747   45.738   45.738   45.742   45.737   45.745   45.737   45.741  
