Wed Jun 09 19:48:37 2021

21.06.02-03_009.top image. S01

Comment: Graphite ni

Us modulation: OFF; Frq(Hz): 1333; Amp(mV): 2.00;
Us base(mV): -50; It setpoint(nA): 0.5;
Us Start(mV): -500; End(mV): 498; Step(mV): 5.98;
Us sweep rate(mV/s): 30.0; sweep delay(ms): 10;
Ccomp modulation: OFF; Amp(mV): 0.0; Phase(deg): 0.0
Lock-in input params
      Sensitivity(mV): ; Phase(deg): ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
      HPF - freq(Hz):      0; slope(dB/oct): 0;
Lock-in output params
      Time constant(ms): 0; Gain: ;
      LPF - freq(Hz):      0; slope(dB/oct): 0;
dIt scale coeff(nA/V): 

Number of STS scans: 5
Position(A) relatively to left-bottom corner: (11.6,10.8)

   Usamp    It01F    It02F    It03F    It04F    It05F    It01B    It02B    It03B    It04B    It05B    dI01F    dI02F    dI03F    dI04F    dI05F    dI01B    dI02B    dI03B    dI04B    dI05B   
  -105.3    -0.253   -0.344   -1.520   -0.412   -0.567   -0.034   -0.062   -0.236   -0.062   -0.138   45.734   45.736   45.734   45.733   45.728   45.740   45.737   45.738   45.741   45.731  
   -99.3    -0.222   -0.307   -1.355   -0.360   -0.506   -0.036   -0.049   -0.223   -0.056   -0.130   45.735   45.733   45.733   45.734   45.730   45.746   45.738   45.740   45.744   45.731  
   -93.4    -0.224   -0.308   -1.267   -0.343   -0.472   -0.040   -0.049   -0.211   -0.066   -0.130   45.735   45.733   45.732   45.736   45.731   45.744   45.741   45.740   45.743   45.732  
   -87.4    -0.223   -0.290   -1.148   -0.320   -0.402   -0.040   -0.045   -0.194   -0.062   -0.117   45.731   45.733   45.729   45.731   45.728   45.740   45.735   45.736   45.736   45.731  
   -81.4    -0.182   -0.241   -1.116   -0.299   -0.367   -0.038   -0.043   -0.148   -0.060   -0.118   45.733   45.732   45.730   45.728   45.729   45.740   45.736   45.736   45.739   45.730  
   -75.4    -0.168   -0.211   -1.025   -0.269   -0.347   -0.033   -0.042   -0.156   -0.057   -0.110   45.732   45.731   45.730   45.730   45.730   45.742   45.734   45.736   45.741   45.729  
   -69.4    -0.138   -0.192   -0.896   -0.249   -0.348   -0.032   -0.040   -0.145   -0.073   -0.094   45.735   45.736   45.731   45.732   45.734   45.744   45.735   45.738   45.739   45.732  
   -63.5    -0.139   -0.173   -0.817   -0.230   -0.331   -0.030   -0.040   -0.118   -0.058   -0.082   45.732   45.733   45.729   45.731   45.730   45.741   45.737   45.736   45.740   45.732  
   -57.5    -0.129   -0.161   -0.731   -0.199   -0.260   -0.028   -0.035   -0.104   -0.036   -0.075   45.736   45.734   45.733   45.733   45.730   45.743   45.739   45.740   45.741   45.733  
   -51.5    -0.099   -0.152   -0.638   -0.178   -0.216   -0.028   -0.032   -0.092   -0.030   -0.074   45.739   45.738   45.734   45.736   45.731   45.745   45.740   45.743   45.740   45.734  
   -45.5    -0.093   -0.123   -0.592   -0.157   -0.193   -0.025   -0.029   -0.093   -0.029   -0.067   45.738   45.736   45.731   45.734   45.732   45.745   45.738   45.737   45.740   45.733  
   -39.5    -0.075   -0.105   -0.484   -0.136   -0.171   -0.023   -0.026   -0.085   -0.027   -0.054   45.738   45.736   45.735   45.733   45.731   45.743   45.740   45.737   45.740   45.734  
   -33.6    -0.065   -0.087   -0.378   -0.110   -0.144   -0.021   -0.025   -0.070   -0.028   -0.052   45.735   45.737   45.738   45.736   45.730   45.745   45.740   45.740   45.740   45.736  
   -27.6    -0.053   -0.078   -0.302   -0.086   -0.119   -0.019   -0.024   -0.059   -0.026   -0.041   45.737   45.737   45.735   45.738   45.733   45.748   45.739   45.742   45.739   45.739  
   -21.6    -0.038   -0.057   -0.223   -0.065   -0.086   -0.018   -0.020   -0.043   -0.023   -0.034   45.738   45.735   45.737   45.738   45.733   45.744   45.740   45.741   45.739   45.738  
   -15.6    -0.030   -0.044   -0.150   -0.045   -0.053   -0.016   -0.018   -0.032   -0.019   -0.026   45.739   45.735   45.738   45.739   45.735   45.748   45.742   45.743   45.741   45.742  
    -9.6    -0.023   -0.026   -0.078   -0.025   -0.024   -0.014   -0.015   -0.019   -0.015   -0.018   45.736   45.741   45.740   45.741   45.737   45.749   45.744   45.741   45.742   45.743  
    -3.7    -0.014   -0.012   -0.008   -0.006    0.006   -0.012   -0.013   -0.008   -0.013   -0.011   45.733   45.741   45.733   45.734   45.722   45.744   45.735   45.734   45.736   45.739  
     2.3    -0.006    0.001    0.066    0.013    0.040   -0.011   -0.010    0.003   -0.011   -0.004   45.724   45.719   45.716   45.714   45.709   45.737   45.728   45.722   45.729   45.727  
     8.3     0.003    0.011    0.139    0.035    0.074   -0.009   -0.007    0.016   -0.007    0.005   45.720   45.714   45.719   45.714   45.713   45.736   45.726   45.720   45.730   45.720  
    14.3     0.012    0.021    0.212    0.054    0.112   -0.008   -0.003    0.028   -0.002    0.013   45.716   45.715   45.719   45.714   45.715   45.732   45.726   45.720   45.726   45.716  
    20.3     0.020    0.034    0.281    0.074    0.138   -0.007    0.001    0.040    0.000    0.022   45.713   45.715   45.721   45.712   45.714   45.729   45.723   45.718   45.722   45.713  
    26.2     0.032    0.049    0.347    0.101    0.156   -0.005    0.005    0.052    0.006    0.029   45.713   45.718   45.723   45.715   45.713   45.733   45.718   45.721   45.719   45.715  
    32.2     0.038    0.053    0.448    0.136    0.177   -0.003    0.010    0.064    0.013    0.034   45.714   45.716   45.723   45.716   45.714   45.731   45.716   45.722   45.719   45.716  
    38.2     0.042    0.065    0.529    0.138    0.229   -0.001    0.013    0.080    0.017    0.041   45.716   45.714   45.719   45.716   45.716   45.727   45.716   45.722   45.718   45.715  
    44.2     0.053    0.080    0.622    0.159    0.250    0.001    0.018    0.092    0.022    0.045   45.714   45.714   45.720   45.716   45.713   45.726   45.713   45.720   45.714   45.716  
    50.2     0.060    0.089    0.697    0.206    0.291    0.006    0.023    0.111    0.023    0.051   45.715   45.715   45.722   45.715   45.715   45.723   45.715   45.721   45.718   45.714  
